
      1,F,2016/10/03
      2,F,2016/10/03
      3,F,2016/10/03
      4,F,2016/10/03
      5,F,2016/10/03
      6,F,2016/10/03
      7,F,2016/10/03
      8,F,2016/10/04
      9,F,2016/10/04
     10,F,2016/10/04
     11,F,2016/10/04
     12,F,2016/10/04
     13,F,2016/10/04
     14,F,2016/10/04
     15,F,2016/10/05
     16,F,2016/10/05
     17,F,2016/10/05
     18,F,2016/10/05
     19,F,2016/10/05
     20,F,2016/10/05
     21,F,2016/10/05
     22,F,2016/10/05
     23,F,2016/10/05
     24,F,2016/10/05
     25,F,2016/10/05
     26,F,2016/10/05
     27,F,2016/10/05
     28,F,2016/10/05
     29,F,2016/10/05
     30,F,2016/10/05
     31,F,2016/10/05
     32,F,2016/10/05
     33,F,2016/10/05
     34,F,2016/10/05
     35,F,2016/10/06
     36,F,2016/10/06
     37,F,2016/10/06
     38,F,2016/10/06
     39,F,2016/10/07
     40,F,2016/10/06
     41,F,2016/10/05
     42,X,    /  /  
     43,X,2016/10/06
     44,X,2016/10/06
     45,R,    /  /  
     46,F,2016/10/06
     47,F,2016/10/06
     48,X,    /  /  
     49,F,2016/10/06
     50,F,2016/10/06
     51,F,2016/10/06
     52,F,2016/10/06
     53,F,2016/10/06
     54,F,2016/10/06
     55,F,2016/10/06
     56,F,2016/10/28
     57,F,2016/10/07
     58,F,2016/10/07
     60,F,2016/10/07
     61,F,2016/10/07
     62,F,2016/10/07
     63,F,2016/10/07
     64,F,2016/10/07
     65,X,    /  /  
     66,F,2016/10/08
     67,F,2016/10/08
     68,F,2016/10/10
     69,F,2016/10/08
     70,F,2016/10/08
     71,F,2016/10/08
     72,F,2016/10/08
     73,F,2016/10/08
     74,F,2016/10/08
     75,F,2016/10/08
     76,F,2016/10/08
     77,F,2016/10/08
     78,F,2016/10/08
     79,R,2016/10/08
     80,F,2016/10/10
     81,R,    /  /  
     82,F,2016/10/11
     83,F,2016/10/24
     84,F,2016/10/24
     85,F,2016/10/26
     86,F,2016/10/10
     87,F,2016/10/10
     88,F,2016/10/10
     89,F,2016/10/24
     90,F,2016/10/10
     91,F,2016/10/10
     92,F,2016/10/10
     93,F,2016/10/11
     94,F,2016/10/11
     95,F,2016/10/11
     96,F,2016/10/11
     97,F,2016/10/11
     98,F,2016/10/14
     99,F,2016/10/13
    100,F,2016/10/13
    101,F,2016/10/12
    102,F,2016/10/12
    103,F,2016/10/12
    104,F,2016/10/13
    105,F,2016/10/14
    106,F,2016/10/12
    107,F,2016/10/12
    108,F,2016/10/12
    109,F,2016/10/12
    110,F,2016/10/12
    111,F,2016/10/13
    112,F,2016/10/13
    113,F,2016/10/13
    114,F,2016/10/14
    115,X,    /  /  
    116,F,2016/10/13
    117,F,2016/10/13
    118,F,2016/10/13
    119,F,2016/10/13
    120,F,2016/10/13
    121,F,2016/10/15
    122,F,2016/10/15
    123,F,2016/10/13
    124,F,2016/10/15
    125,F,2016/10/13
    126,F,2016/10/13
    127,F,2016/10/13
    128,F,2016/10/13
    129,F,2016/10/13
    130,F,2016/10/13
    131,F,2016/10/13
    132,F,2016/10/13
    133,F,2016/10/14
    134,F,2016/10/14
    135,F,2016/10/14
    136,R,2016/10/14
    137,X,    /  /  
    138,F,2016/10/17
    139,F,2016/10/14
    140,F,2016/10/14
    141,F,2016/10/14
    142,F,2016/10/14
    143,F,2016/10/15
    144,F,2016/10/15
    145,F,2016/10/27
    146,F,2016/10/15
    147,F,2016/10/26
    148,F,2016/10/17
    149,F,2016/10/17
    150,F,2016/10/17
    151,F,2016/10/17
    152,F,2016/10/19
    153,F,2016/10/18
    154,F,2016/10/18
    155,F,2016/10/18
    156,F,2016/10/18
    157,F,2016/10/18
    158,F,2016/10/18
    159,F,2016/10/18
    160,F,2016/10/18
    161,F,2016/10/18
    162,F,2016/10/19
